,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
166,MATKOVIC,Dusan,29:41,29.0,41.0,3.0,11.0,1.0,9.0,,,,,2.0,2.0,,,,,,,,,1.0,1.0,,,0.0,1.0,,,,,,,,0.0,MNE,ESP,L,Player
167,BANICEVIC,Dusan,8:22,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,MNE,ESP,L,Player
168,,,,,,6.0,27.0,1.0,16.0,0.0,1.0,,,4.0,8.0,0.0,1.0,,,,,1.0,1.0,2.0,7.0,4.0,3.0,1.0,4.0,8.0,,,,,,1.0,9.0,MNE,ESP,L,Team
169,LOPEZ PINEDO,Daniel,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,MNE,W,Player
170,MUNARRIZ EGANA,Alberto,26:33,26.0,33.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,1.0,3.0,,,,1.0,,,,,,,1.0,ESP,MNE,W,Player
171,GRANADOS ORTEGA,Alvaro,23:44,23.0,44.0,2.0,6.0,0.0,3.0,,,,,1.0,2.0,,,,,1.0,1.0,,,1.0,5.0,1.0,,0.0,1.0,,,,,1.0,,,1.0,ESP,MNE,W,Player
172,SANAHUJA,Bernat,9:35,9.0,35.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,ESP,MNE,W,Player
173,de TORO DOMINGUEZ,Miguel,15:22,15.0,22.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,1.0,ESP,MNE,W,Player
174,LARUMBE GONFAUS,Marc,25:24,25.0,24.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,0.0,ESP,MNE,W,Player
175,FAMERA,Martin,17:28,17.0,28.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,2.0,2.0,1.0,,,,,,,1.0,ESP,MNE,W,Player
176,FERNANDEZ MIRANDA,Francisco,14:30,14.0,30.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,ESP,MNE,W,Player
177,TAHULL COMPTE,Roger,13:11,13.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,MNE,W,Player
178,PERRONE ROCHA,Felipe,26:43,26.0,43.0,0.0,6.0,0.0,4.0,,,,,0.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,ESP,MNE,W,Player
179,MALLARACH GUELL,Blai,10:23,10.0,23.0,2.0,4.0,0.0,1.0,,,,,2.0,2.0,,,,,,,0.0,1.0,,,,,,,,1.0,,,,,,1.0,ESP,MNE,W,Player
180,BUSTOS SANCHEZ,Ale andro,9:07,9.0,7.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,ESP,MNE,W,Player
181,,,,,,8.0,25.0,3.0,15.0,,,,,4.0,8.0,,,,,1.0,1.0,0.0,1.0,6.0,12.0,9.0,2.0,3.0,4.0,6.0,1.0,,,2.0,,,9.0,ESP,MNE,W,Team
182,MEDVEDEV,Yevgeniy,19:19,19.0,19.0,2.0,4.0,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,KAZ,SRB,L,Player
183,AUBAKIROV,Miras,13:13,13.0,13.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,1.0,0.0,2.0,,,,,,,,0.0,KAZ,SRB,L,Player
184,MARKOVIC,Dusan,18:46,18.0,46.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,2.0,KAZ,SRB,L,Player
185,SHMIDER,Alexey,14:57,14.0,57.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,KAZ,SRB,L,Player
186,ARTYUKH,Danil,6:52,6.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,KAZ,SRB,L,Player
187,SHAKENOV,Murat,21:49,21.0,49.0,0.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,2.0,KAZ,SRB,L,Player
188,VUKSANOVIC,Srdan,27:06,27.0,6.0,2.0,7.0,0.0,2.0,,,,,2.0,3.0,,,,,,,0.0,2.0,,2.0,1.0,,,,1.0,,,,,,,1.0,KAZ,SRB,L,Player
189,UKUMANOV,Rustam,20:57,20.0,57.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,KAZ,SRB,L,Player
190,RUDAY,Mikhail,15:26,15.0,26.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,KAZ,SRB,L,Player
191,ALTAYEV,Altay,16:23,16.0,23.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,KAZ,SRB,L,Player
192,SHVEDOV,Stanislav,17:12,17.0,12.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,2.0,,,,,,,2.0,KAZ,SRB,L,Player
193,LIPILIN,Pavel,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,KAZ,SRB,L,Player
194,,,,,,5.0,23.0,2.0,13.0,0.0,1.0,,,2.0,6.0,,,,,1.0,1.0,0.0,2.0,7.0,7.0,3.0,1.0,2.0,4.0,9.0,,,1.0,2.0,,,12.0,KAZ,SRB,L,Team
195,MANDIC,Dusan,16:05,16.0,5.0,2.0,4.0,1.0,1.0,,,1.0,1.0,,,0.0,2.0,,,,,,,,2.0,1.0,,,,1.0,,,,,,,1.0,SRB,KAZ,W,Player
196,DEDOVIC,Nikola,23:09,23.0,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,0.0,1.0,2.0,,,,,,,2.0,SRB,KAZ,W,Player
197,RANDELOVIC,Sava,13:20,13.0,20.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,SRB,KAZ,W,Player
198,LAZIC,Dorde,18:36,18.0,36.0,1.0,2.0,,,0.0,1.0,,,1.0,1.0,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,0.0,SRB,KAZ,W,Player
199,PIJETLOVIC,Dusko,12:09,12.0,9.0,4.0,4.0,,,2.0,2.0,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,SRB,KAZ,W,Player
200,RASOVIC,Strahin a,26:32,26.0,32.0,3.0,6.0,1.0,4.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,1.0,,,,,,,1.0,SRB,KAZ,W,Player
201,ALEKSIC,Milan,16:57,16.0,57.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,2.0,SRB,KAZ,W,Player
202,JAKSIC,Nikola,15:07,15.0,7.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,1.0,2.0,SRB,KAZ,W,Player
203,FILIPOVIC,Filip,16:38,16.0,38.0,1.0,4.0,0.0,1.0,,,,,0.0,1.0,,,,,,,1.0,2.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,SRB,KAZ,W,Player
204,PRLAINOVIC,Andri a,12:09,12.0,9.0,2.0,3.0,0.0,1.0,,,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,0.0,SRB,KAZ,W,Player
205,MITROVIC,Stefan,21:18,21.0,18.0,2.0,3.0,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,0.0,SRB,KAZ,W,Player
206,,,,,,19.0,30.0,5.0,10.0,2.0,4.0,1.0,1.0,9.0,10.0,0.0,2.0,,,,,2.0,3.0,7.0,14.0,3.0,4.0,2.0,4.0,8.0,,,2.0,,,1.0,11.0,SRB,KAZ,W,Team
207,HRYSANTHOS,Anthony,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,AUS,CRO,W,Player
208,CAMPBELL,Richard,26:22,26.0,22.0,3.0,5.0,1.0,2.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,AUS,CRO,W,Player
209,FORD,George,9:45,9.0,45.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,2.0,AUS,CRO,W,Player
210,TOMASEVIC,Goran,9:27,9.0,27.0,0.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,AUS,CRO,W,Player
211,POWER,Nathan,16:41,16.0,41.0,1.0,4.0,,,0.0,1.0,,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,AUS,CRO,W,Player
212,EDWARDS,Lachlan Robert,12:29,12.0,29.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,3.0,AUS,CRO,W,Player
213,ROACH,Aidan,23:57,23.0,57.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,2.0,AUS,CRO,W,Player
214,YOUNGER,Aaron,28:21,28.0,21.0,1.0,6.0,1.0,2.0,,,,,0.0,3.0,0.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,AUS,CRO,W,Player
215,FORD,Andrew,12:57,12.0,57.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,AUS,CRO,W,Player
216,PUTT,Timothy Francis,13:33,13.0,33.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,AUS,CRO,W,Player
217,HOWDEN,Rhys,23:53,23.0,53.0,1.0,4.0,0.0,2.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,3.0,4.0,1.0,1.0,,,,,,2.0,AUS,CRO,W,Player
218,EDWARDS,Blake,14:35,14.0,35.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,0.0,AUS,CRO,W,Player
219,,,,,,11.0,29.0,5.0,12.0,0.0,2.0,,,5.0,13.0,1.0,2.0,,,,,,,4.0,5.0,5.0,2.0,3.0,4.0,6.0,5.0,,,2.0,,2.0,15.0,AUS,CRO,W,Team
220,BIJAC,Marko,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,CRO,AUS,L,Player
221,MACAN,Marko,8:14,8.0,14.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,CRO,AUS,L,Player
222,FATOVIC,Loren,23:07,23.0,7.0,2.0,4.0,0.0,2.0,,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,CRO,AUS,L,Player
223,LONCAR,Luka,16:08,16.0,8.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,CRO,AUS,L,Player
224,JOKOVIC,Maro,25:15,25.0,15.0,3.0,5.0,0.0,1.0,,,,,0.0,1.0,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,0.0,CRO,AUS,L,Player
225,BUKIC,Luka,22:53,22.0,53.0,2.0,5.0,1.0,3.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,,,,2.0,CRO,AUS,L,Player
226,VUKICEVIC,Ante,18:48,18.0,48.0,0.0,5.0,0.0,2.0,,,,,0.0,3.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,CRO,AUS,L,Player
227,BUSLJE,Andro,11:52,11.0,52.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,2.0,CRO,AUS,L,Player
228,MILOS,Lovre,13:09,13.0,9.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,0.0,2.0,,,,,,,,0.0,CRO,AUS,L,Player
229,VRLIC,Josip,15:34,15.0,34.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,2.0,CRO,AUS,L,Player
230,OBRADOVIC,Paulo,15:08,15.0,8.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,CRO,AUS,L,Player
231,GARCIA GADEA,Javier,21:52,21.0,52.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,CRO,AUS,L,Player
232,,,,,,8.0,26.0,1.0,13.0,,,,,4.0,10.0,,,,,2.0,2.0,1.0,1.0,5.0,5.0,7.0,1.0,1.0,4.0,7.0,6.0,,,,,,13.0,CRO,AUS,L,Team
233,Del LUNGO,Marco,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,ITA,GRE,L,Player
234,Di FULVIO,Francesco,28:17,28.0,17.0,0.0,3.0,0.0,1.0,,,,,,,0.0,2.0,,,,,,,1.0,,2.0,3.0,2.0,2.0,1.0,,,,,,,1.0,ITA,GRE,L,Player
235,LUONGO,Stefano,14:28,14.0,28.0,1.0,4.0,1.0,1.0,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.0,ITA,GRE,L,Player
236,FIGLIOLI,Pietro,24:34,24.0,34.0,2.0,10.0,0.0,6.0,,,,,1.0,3.0,,,,,1.0,1.0,,,,,,1.0,2.0,2.0,,,,,,,,0.0,ITA,GRE,L,Player
237,PRESCIUTTI,Nicholas,15:43,15.0,43.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,ITA,GRE,L,Player
238,VELOTTO,Alessandro,10:52,10.0,52.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,ITA,GRE,L,Player
239,RENZUTO IODICE,Vincenzo,14:20,14.0,20.0,0.0,3.0,,,,,,,0.0,2.0,0.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,ITA,GRE,L,Player
240,ECHENIQUE,Gonzalo,26:39,26.0,39.0,1.0,4.0,0.0,2.0,,,,,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,0.0,ITA,GRE,L,Player
241,FIGARI,Niccolo,10:40,10.0,40.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,ITA,GRE,L,Player
242,BODEGAS,Michael Alexandre,15:59,15.0,59.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,0.0,ITA,GRE,L,Player
243,AICARDI,Matteo,16:01,16.0,1.0,2.0,3.0,,,2.0,2.0,,,0.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,0.0,ITA,GRE,L,Player
244,DOLCE,Vincenzo,14:27,14.0,27.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,ITA,GRE,L,Player
245,,,,,,6.0,31.0,1.0,12.0,2.0,2.0,,,2.0,13.0,0.0,3.0,,,1.0,1.0,,,7.0,5.0,6.0,9.0,4.0,4.0,4.0,3.0,,,,,,7.0,ITA,GRE,L,Team
246,ZERDEVAS,Emmanouil,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,ITA,W,Player
247,GENIDOUNIAS,Konstantinos,28:44,28.0,44.0,1.0,6.0,0.0,3.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,2.0,2.0,0.0,1.0,1.0,1.0,,,1.0,,,3.0,GRE,ITA,W,Player
248,SKOUMPAKIS,Dimitrios,15:39,15.0,39.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,GRE,ITA,W,Player
249,KAPOTSIS,Marios,17:59,17.0,59.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,GRE,ITA,W,Player
250,FOUNTOULIS,Ioannis,24:22,24.0,22.0,0.0,5.0,0.0,3.0,,,,,0.0,2.0,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,,3.0,GRE,ITA,W,Player
251,PAPANASTASIOU,Alexandros,24:50,24.0,50.0,1.0,3.0,1.0,2.0,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,1.0,0.0,2.0,,1.0,,,,,1.0,2.0,GRE,ITA,W,Player
252,DERVISIS,Georgios,8:33,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,GRE,ITA,W,Player
253,ARGYROPOULOS KANAKAKIS,Stylianos,21:48,21.0,48.0,1.0,6.0,0.0,3.0,,,,,1.0,1.0,0.0,2.0,,,,,,,,1.0,,,0.0,1.0,,1.0,,,,,,1.0,GRE,ITA,W,Player
254,MOURIKIS,Konstantinos,10:26,10.0,26.0,1.0,3.0,,,0.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,2.0,GRE,ITA,W,Player
255,KOLOMVOS,Christodoulos,14:16,14.0,16.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,GRE,ITA,W,Player
256,GKIOUVETSIS,Konstantinos,1:35,1.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,ITA,W,Player
257,VLACHOPOULOS,Angelos,23:48,23.0,48.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,2.0,1.0,,,,,,3.0,GRE,ITA,W,Player
258,,,,,,6.0,30.0,2.0,16.0,0.0,2.0,,,2.0,7.0,2.0,5.0,,,,,,,1.0,5.0,6.0,6.0,0.0,4.0,7.0,5.0,,1.0,1.0,,1.0,15.0,GRE,ITA,W,Team
259,TANAMURA,Katsuyuki,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,JPN,HUN,L,Player
260,ADACHI,Seiya,24:38,24.0,38.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,1.0,,,,,1.0,2.0,JPN,HUN,L,Player
261,KOPPU,Harukiirario,24:19,24.0,19.0,1.0,4.0,0.0,2.0,1.0,1.0,,,0.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,,0.0,JPN,HUN,L,Player
262,SHIGA,Mitsuaki,20:47,20.0,47.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,,1.0,,,,3.0,JPN,HUN,L,Player
263,YOSHIDA,Takuma,20:11,20.0,11.0,2.0,5.0,1.0,4.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,0.0,JPN,HUN,L,Player
264,SUZUKI,Toi,9:00,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,JPN,HUN,L,Player
265,SHIMIZU,Yusuke,6:18,6.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,HUN,L,Player
266,TAKATA,Mitsuru,11:01,11.0,1.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,HUN,L,Player
267,ARAI,Atsushi,24:15,24.0,15.0,1.0,5.0,0.0,1.0,,,,,1.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,0.0,1.0,,1.0,,,,,1.0,2.0,JPN,HUN,L,Player
268,INABA,Yusuke,24:31,24.0,31.0,3.0,10.0,1.0,6.0,,,,,2.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,JPN,HUN,L,Player
269,OKAWA,Keigo,19:25,19.0,25.0,3.0,6.0,2.0,4.0,,,0.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,JPN,HUN,L,Player
270,ARAKI,Kenta,7:35,7.0,35.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,JPN,HUN,L,Player
271,,,,,,11.0,35.0,5.0,22.0,1.0,1.0,0.0,1.0,3.0,7.0,1.0,2.0,,,,,1.0,2.0,1.0,3.0,6.0,,0.0,4.0,1.0,5.0,,1.0,,,2.0,9.0,JPN,HUN,L,Team
272,NAGY,Viktor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,JPN,W,Player
273,ANGYAL,Daniel,17:46,17.0,46.0,2.0,4.0,,,1.0,2.0,,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,2.0,HUN,JPN,W,Player
274,MANHERCZ,Krisztian,19:55,19.0,55.0,1.0,2.0,,,,,,,1.0,1.0,,,,,0.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,0.0,HUN,JPN,W,Player
275,ZALANKI,Gergo,25:42,25.0,42.0,4.0,4.0,2.0,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.0,HUN,JPN,W,Player
276,VAMOS,Marton,20:58,20.0,58.0,2.0,5.0,0.0,3.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,2.0,HUN,JPN,W,Player
277,HOSNYANSZKY,Norbert,15:13,15.0,13.0,0.0,2.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,HUN,JPN,W,Player
278,PASZTOR,Matyas,19:02,19.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,1.0,HUN,JPN,W,Player
279,JANSIK,Szilard,16:54,16.0,54.0,0.0,3.0,,,0.0,2.0,,,,,0.0,1.0,,,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,HUN,JPN,W,Player
280,ERDELYI,Balazs,20:32,20.0,32.0,3.0,5.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,0.0,HUN,JPN,W,Player
281,VARGA,Denes,22:00,22.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,HUN,JPN,W,Player
282,HARAI,Balazs,13:58,13.0,58.0,2.0,4.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,2.0,,,2.0,HUN,JPN,W,Player
283,VOGEL,Soma,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,HUN,JPN,W,Player
284,,,,,,16.0,33.0,3.0,12.0,4.0,8.0,1.0,1.0,6.0,7.0,0.0,2.0,,,1.0,2.0,1.0,1.0,5.0,9.0,8.0,6.0,4.0,4.0,1.0,3.0,,,5.0,,,9.0,HUN,JPN,W,Team
285,CARD,Devon,10:27,10.0,27.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,3.0,RSA,USA,L,Player
286,REZELMAN,Timothy,17:13,17.0,13.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,USA,L,Player
287,BADENHORST,Nardus,12:25,12.0,25.0,1.0,4.0,,,0.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,USA,L,Player
288,LAURENSON,Cameron Bain,19:08,19.0,8.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,3.0,RSA,USA,L,Player
289,STONE,Ross,26:39,26.0,39.0,0.0,4.0,0.0,2.0,,,,,0.0,2.0,,,,,,,,,1.0,,2.0,1.0,0.0,1.0,,,,,,,1.0,1.0,RSA,USA,L,Player
290,EVEZARD,Jason,24:19,24.0,19.0,1.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,0.0,RSA,USA,L,Player
291,RODDA,Nicholas,26:30,26.0,30.0,0.0,6.0,0.0,5.0,,,,,,,0.0,1.0,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,1.0,,,,1.0,RSA,USA,L,Player
292,MARGRO,Yaseen,15:43,15.0,43.0,1.0,2.0,,,,,,,0.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,3.0,RSA,USA,L,Player
293,MAYMAN,Mogamad Farouk,15:30,15.0,30.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,RSA,USA,L,Player
294,NEILL,Liam,15:48,15.0,48.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,0.0,RSA,USA,L,Player
295,STEWART,Donn,8:18,8.0,18.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,3.0,RSA,USA,L,Player
296,MAY,Gareth,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,USA,L,Player
297,,,,,,3.0,27.0,1.0,17.0,0.0,4.0,,,1.0,4.0,0.0,1.0,,,,,1.0,1.0,9.0,4.0,5.0,2.0,1.0,4.0,7.0,1.0,,1.0,3.0,,3.0,15.0,RSA,USA,L,Team
298,WOLF,Alex,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,USA,RSA,W,Player
299,HOOPER,Johnny,18:54,18.0,54.0,3.0,9.0,0.0,1.0,,,,,1.0,3.0,,,,,2.0,2.0,0.0,3.0,,,,1.0,3.0,3.0,,,,,,,,0.0,USA,RSA,W,Player
300,VAVIC,Marko,18:30,18.0,30.0,1.0,2.0,1.0,1.0,,,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,USA,RSA,W,Player
301,OBERT,Alex,15:08,15.0,8.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,USA,RSA,W,Player
302,DAUBE,Hannes,22:08,22.0,8.0,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,,,0.0,1.0,,,,,2.0,,,,1.0,,,,,,,1.0,USA,RSA,W,Player
303,CUPIDO,Luca,21:25,21.0,25.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,0.0,USA,RSA,W,Player
304,HALLOCK,Ben,17:07,17.0,7.0,4.0,9.0,,,2.0,7.0,,,2.0,2.0,,,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,0.0,USA,RSA,W,Player
305,WOODHEAD,Dylan,11:23,11.0,23.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,2.0,,,,,,,2.0,USA,RSA,W,Player
306,BOWEN,Alex,16:54,16.0,54.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.0,USA,RSA,W,Player
